date and time,temperature,humidity,wind speed,cloud cover,amount of precipitation
31.12.2019 22:00,6.1,65,6,100%.,0.3
31.12.2019 19:00,6.7,71,5,70 – 80%.,
31.12.2019 16:00,7.2,66,5,50%.,
31.12.2019 13:00,6.1,76,3,100%.,Trace of precipitation
31.12.2019 10:00,4.4,83,2,100%.,Trace of precipitation
31.12.2019 07:00,3.3,89,5,100%.,Trace of precipitation
31.12.2019 04:00,3.9,82,4,100%.,
31.12.2019 01:00,3.9,79,6,100%.,0.3
30.12.2019 22:00,3.9,86,7,100%.,0.3
30.12.2019 19:00,4.4,86,11,100%.,5.0
30.12.2019 16:00,6.1,86,5,100%.,1.0
30.12.2019 13:00,5.6,85,8,100%.,2.0
30.12.2019 10:00,5.6,85,8,100%.,0.8
30.12.2019 07:00,5.0,89,8,100%.,5.0
30.12.2019 04:00,4.4,89,7,100%.,3.0
30.12.2019 01:00,5.0,89,6,100%.,6.0
29.12.2019 22:00,3.9,89,5,100%.,4.0
29.12.2019 19:00,4.4,83,4,100%.,2.0
29.12.2019 16:00,4.4,77,5,100%.,Trace of precipitation
29.12.2019 13:00,5.0,65,3,100%.,
29.12.2019 10:00,4.4,65,5,70 – 80%.,
29.12.2019 07:00,5.0,62,2,70 – 80%.,
29.12.2019 04:00,6.1,60,2,50%.,
29.12.2019 01:00,6.7,58,3,50%.,
28.12.2019 22:00,7.2,52,5,70 – 80%.,
28.12.2019 19:00,8.3,52,2,70 – 80%.,
28.12.2019 16:00,9.4,48,5,70 – 80%.,
28.12.2019 13:00,9.4,52,6,70 – 80%.,
28.12.2019 10:00,8.3,61,5,70 – 80%.,
28.12.2019 07:00,8.3,77,3,70 – 80%.,
28.12.2019 04:00,7.8,83,3,50%.,
28.12.2019 01:00,8.3,80,3,70 – 80%.,
27.12.2019 22:00,10.6,71,3,100%.,
27.12.2019 19:00,11.7,69,5,100%.,Trace of precipitation
27.12.2019 16:00,12.2,67,3,100%.,
27.12.2019 13:00,11.7,66,3,100%.,
27.12.2019 10:00,11.1,64,6,100%.,
27.12.2019 07:00,8.9,77,4,70 – 80%.,
27.12.2019 04:00,6.1,86,3,100%.,
27.12.2019 01:00,7.8,77,3,100%.,
26.12.2019 22:00,6.1,80,3,100%.,
26.12.2019 19:00,6.1,80,4,100%.,
26.12.2019 16:00,5.6,79,5,70 – 80%.,
26.12.2019 13:00,4.4,79,7,100%.,
26.12.2019 10:00,3.9,76,6,100%.,
26.12.2019 07:00,2.2,93,3,100%.,
26.12.2019 04:00,2.2,89,3,70 – 80%.,
26.12.2019 01:00,2.8,86,3,70 – 80%.,
25.12.2019 22:00,2.8,86,3,50%.,
25.12.2019 19:00,3.9,76,3,70 – 80%.,
25.12.2019 16:00,5.0,65,3,70 – 80%.,
25.12.2019 13:00,5.0,57,3,70 – 80%.,
25.12.2019 10:00,2.2,57,3,70 – 80%.,
25.12.2019 07:00,1.1,56,2,50%.,
25.12.2019 04:00,1.7,52,2,20–30%.,
25.12.2019 01:00,2.2,50,2,20–30%.,
24.12.2019 22:00,3.3,48,2,50%.,
24.12.2019 19:00,4.4,47,4,70 – 80%.,
24.12.2019 16:00,7.2,39,5,50%.,
24.12.2019 13:00,8.3,41,5,50%.,
24.12.2019 10:00,6.7,49,7,50%.,
24.12.2019 07:00,5.6,65,3,20–30%.,
24.12.2019 04:00,6.7,60,4,20–30%.,
24.12.2019 01:00,7.2,49,4,20–30%.,
23.12.2019 22:00,8.9,42,4,70 – 80%.,
23.12.2019 19:00,11.1,28,5,50%.,
23.12.2019 16:00,12.2,29,6,50%.,
23.12.2019 13:00,12.8,38,2,50%.,
23.12.2019 10:00,7.8,54,3,20–30%.,
23.12.2019 07:00,4.4,63,3,20–30%.,
23.12.2019 04:00,4.4,63,2,20–30%.,
23.12.2019 01:00,7.2,49,2,20–30%.,
22.12.2019 22:00,7.2,48,6,20–30%.,
22.12.2019 19:00,6.7,51,4,20–30%.,
22.12.2019 16:00,8.3,44,3,50%.,
22.12.2019 13:00,7.2,46,3,50%.,
22.12.2019 10:00,2.8,57,2,50%.,
22.12.2019 07:00,0.0,64,2,20–30%.,
22.12.2019 04:00,0.0,59,2,no clouds,
22.12.2019 01:00,1.1,64,4,20–30%.,
21.12.2019 22:00,1.7,70,0,50%.,
21.12.2019 19:00,0.6,64,0,70 – 80%.,
21.12.2019 16:00,1.1,59,2,70 – 80%.,
21.12.2019 13:00,-0.6,59,2,70 – 80%.,
21.12.2019 10:00,-2.8,61,2,70 – 80%.,
21.12.2019 07:00,-4.4,60,3,70 – 80%.,
21.12.2019 04:00,-4.4,60,3,70 – 80%.,
21.12.2019 01:00,-3.9,60,4,20–30%.,
20.12.2019 22:00,-2.2,51,3,20–30%.,
20.12.2019 19:00,-0.6,52,4,no clouds,
20.12.2019 16:00,1.1,44,5,no clouds,
20.12.2019 13:00,-0.6,45,7,no clouds,
20.12.2019 10:00,-2.8,51,5,no clouds,
20.12.2019 07:00,-4.4,60,7,no clouds,
20.12.2019 04:00,-4.4,60,6,100%.,
20.12.2019 01:00,-4.4,57,6,70 – 80%.,
19.12.2019 22:00,-4.4,55,6,100%.,
19.12.2019 19:00,-3.9,50,9,20–30%.,
19.12.2019 16:00,-3.3,48,8,20–30%.,
19.12.2019 13:00,-4.4,48,9,20–30%.,
19.12.2019 10:00,-6.7,57,11,20–30%.,
19.12.2019 07:00,-7.8,57,10,20–30%.,Trace of precipitation
19.12.2019 04:00,-7.2,51,9,20–30%.,Trace of precipitation
19.12.2019 01:00,-6.7,68,8,50%.,Trace of precipitation
18.12.2019 22:00,-3.3,69,9,100%.,Trace of precipitation
18.12.2019 19:00,0.0,64,8,70 – 80%.,Trace of precipitation
18.12.2019 16:00,1.7,57,9,20–30%.,
18.12.2019 13:00,1.7,57,8,100%.,
18.12.2019 10:00,2.2,55,5,no clouds,
18.12.2019 07:00,0.6,66,5,20–30%.,
18.12.2019 04:00,1.1,70,7,20–30%.,
18.12.2019 01:00,2.2,76,8,70 – 80%.,Trace of precipitation
17.12.2019 22:00,1.7,82,7,100%.,Trace of precipitation
17.12.2019 19:00,1.1,85,6,100%.,4.0
17.12.2019 16:00,1.1,85,5,100%.,3.0
17.12.2019 13:00,1.1,89,8,100%.,8.0
17.12.2019 10:00,2.2,82,9,100%.,4.0
17.12.2019 07:00,1.1,85,9,100%.,9.0
17.12.2019 04:00,0.6,85,6,100%.,5.0
17.12.2019 01:00,0.6,78,4,100%.,4.0
16.12.2019 22:00,1.7,64,3,100%.,0.5
16.12.2019 19:00,2.8,46,2,100%.,
16.12.2019 16:00,2.8,44,2,100%.,
16.12.2019 13:00,2.2,44,2,100%.,
16.12.2019 10:00,1.7,44,3,100%.,
16.12.2019 07:00,1.1,46,3,100%.,
16.12.2019 04:00,1.7,48,5,70 – 80%.,
16.12.2019 01:00,2.8,48,7,70 – 80%.,
15.12.2019 22:00,3.9,48,8,20–30%.,
15.12.2019 19:00,5.6,40,9,20–30%.,
15.12.2019 16:00,7.2,35,14,50%.,
